Проект,Категории,Цена,Заявки
Подобрать домен,Нейминг и Слоганы,$5,9 заявок
Дизайн одной страницы по макету,Дизайн сайтов,,34 заявки
Методические указания,Редактирование и Корректура,,5 заявок
Транскрибация Видео,Транскрибация,,12 заявок
Требуется рерайтер для написания статей,Рерайтинг,,191 заявка
Для  интернет  магазина  люстр  нужно несколько  текстов,"Продающие тексты, Копирайтинг",,9 заявок
Дизайн интернет-магазина по продаже антикварного оружия в подарок,Дизайн сайтов,$416,22 заявки
Отзывы о компании,Копирайтинг,,10 заявок
Сверстать страницу,HTML-верстка,,19 заявок
Нужен сайт-рулетка. ( PUBG ),Сайты «под ключ»,,6 заявок
"Сделать фильтр по товарам, PHP самопис",Веб-программирование,,4 заявки
Внести логотипы на 120 фотографий (массово),Обработка фотографий,,31 заявка
Раскрутка инстаграма,Социальные сети (SMM и SMO),,7 заявок
Курсовая. Экономика инвестиций,"Рефераты, Курсовые и Дипломы",,1 заявка
Логотип,Логотипы и Знаки,,11 заявок
Скрипт для рассылки писем,Веб-программирование,,4 заявки
,,,
Проект создания предпринимательской единицы,"Контрольные, Задачи и Тесты",,нет заявок
Подключить сайт к панели WHM,Веб-программирование,,нет заявок
Сделать копию сайта и залить на домен,Веб-программирование,,4 заявки
Сайт на bitrix. Перенос данных с WordPress. 1С разработка,HTML-верстка,,3 заявки
Курсовая по экономике предприятия,"Рефераты, Курсовые и Дипломы",,нет заявок
Ищу копирайтера для удаленного сотрудничества,Копирайтинг,,9 заявок
Анализ рынка труда,"Контрольные, Задачи и Тесты",,нет заявок
Перевод одной простой картинки Растр > Вектор,Иллюстрации и Рисунки,,8 заявок
Перевод с русского на английский (уровень Advanced),Переводы,,16 заявок
Задачи по математическому моделированию,"Контрольные, Задачи и Тесты",,1 заявка
Настройка таргетированной рекламы вк b2b,Социальные сети (SMM и SMO),,5 заявок
Принять два обратных звонка (для Москвы и Мо),Подбор персонала (HR),$2,3 заявки
Необходимо с 1 с извлечь базу клиентов,1С-программирование,,6 заявок
Joomla доработки,Веб-программирование,,1 заявка
Доделать сайт на Yii2 (каталог мастеров),Сайты «под ключ»,,5 заявок
Нужны 3д модели силиконовых приманок,3D-графика,,3 заявки
"Создать сайт под ключ по оказанию услуг 1с (дизайн, наполнение, прогр)",Сайты «под ключ»,,41 заявка
Решить задание,"Контрольные, Задачи и Тесты",,1 заявка
Заказ №885275,Сайты «под ключ»,,5 заявок
Сделать корректировку в интернет магазине на simpla,Веб-программирование,,3 заявки
,,,
Требуется создание отдельных страниц по производителям Modx minishop 2,Веб-программирование,,1 заявка
Сделать правки на сайте Opencart 1.5,Веб-программирование,$60,4 заявки
Настроить рекламу (Яндекс и Гугл),Контекстная реклама,$80,10 заявок
Убрать логотип из видеоряда,Видеомонтаж,,11 заявок
Создать сайт,Сайты «под ключ»,,11 заявок
Ищу специалиста по VBA Excel.,Веб-программирование,,3 заявки
Заказ №885266,Дизайн сайтов,,11 заявок
Правки в интернет-магазине,Интернет-магазины,,7 заявок
Необходима доработка Api и административного интефейса.,Веб-программирование,,нет заявок
Нужно сверстать сайт,HTML-верстка,,41 заявка
Ищу программиста на С++. Требуется написать launcher для Minecraft,Прикладное ПО,,2 заявки
Drupal 7 нужно сделать простую партнерскую программу.,Веб-программирование,,2 заявки
Специалист по PrestaShop,Системы управления (CMS),,1 заявка
Доработка шаблона Битрикс,Веб-программирование,$75,2 заявки
Создание очень простого web-сайта на языке PHP и DB POD,Сайты «под ключ»,,1 заявка
Срочно нужен человек для совместного выполнения проекта ( игра Дота),Сайты «под ключ»,,5 заявок
Модуль онлайн бронирования на сайт,Веб-программирование,,4 заявки
Продающий текст для видео ролика студии графического дизайна.,Продающие тексты,,7 заявок
Доработка сайта на Joomla,Веб-программирование,,3 заявки
Веб-разработчик,"Веб-программирование, HTML-верстка",$500,4 заявки
,,,
Наполнить товарами интенет-магазин на CMS Opencart,Наполнение сайтов,,17 заявок
Дизайн блога,Дизайн сайтов,,28 заявок
PHP.  Преобразовать данные из экселя в mysql,Веб-программирование,,10 заявок
Нужен ionic разработчик,ПО для мобильных устройств,,2 заявки
Таблица и блоки на html+css+js,"HTML-верстка, Веб-программирование",,нет заявок
Не работает кнопка добавления картинки и кнопка отмены Drupal 7,Веб-программирование,,2 заявки
Нужно сделать сайт на платформе базиуме 2.0,"Дизайн сайтов, HTML-верстка",,5 заявок
Необходимо скомпилировать приложение с помощью PhoneGap,ПО для мобильных устройств,,3 заявки
Создать сервис для перелива  с приложений вконтакте на сторонние сайты,"Веб-программирование, Сайты «под ключ»",,4 заявки
Скопировать html шаблон и разместить на хостинге,"Веб-программирование, Системное администрирование",,8 заявок
Верстка стилей основного меню на Opencart 2,HTML-верстка,,7 заявок
Сверстать небольшую всплывашку для проекта на WP.,HTML-верстка,,3 заявки
Написание текстов по направлению стоматологии,Копирайтинг,,11 заявок
"С#, программа для проксирования данных по протоколу SOCKS5",Прикладное ПО,,2 заявки
Сайт на WordPress,Системы управления (CMS),,21 заявка
Создание логотипа 5 вариантов,Логотипы и Знаки,$60,12 заявок
Разработка партнёрского сайта форекс-тематики,Сайты «под ключ»,,19 заявок
Статьи на строительную тематику (малоэтажное строительство),Копирайтинг,,13 заявок
Создание логотипа и цветового сочетания,Логотипы и Знаки,$30,6 заявок
Перевод с русского на немецкий,Переводы,$25,6 заявок
,,,
Заказ №885219,Поисковые системы (SEO),,1 заявка
"Написание статей по криптовалютам, блокчейну, биржам и т.п. (новичкам)",Рерайтинг,,1 заявка
Работа с AMOCRM,Веб-программирование,,нет заявок
Подготовить контен-план статей по криптовалютам,Рерайтинг,,нет заявок
Автор текстов к спорт. видео,Копирайтинг,,2 заявки
Построить асимптотическую ЛАЧХ разомкнутой схемы,Чертежи и Схемы,$4,1 заявка
Дизайн магазина спортоваров,Архитектура зданий,,11 заявок
Выполнение языковых студенческих работ,"Контрольные, Задачи и Тесты",,19 заявок
"Перенос информации со старого сайта на новый, + проверка и доработка.",Веб-программирование,,9 заявок
Написание постов по самостоятельным путешествиям,Копирайтинг,$25,3 заявки
1C Программирование перенос данных с Комплексной 7.7 в УТ 11,1С-программирование,,2 заявки
Дизайн лэндинга,Дизайн сайтов,$25,1 заявка
Несложный баннер,Баннеры,,20 заявок
Простые рисованные иллюстрации к статьям,Иллюстрации и Рисунки,,19 заявок
"Рерайт статей на темы: иммиграция, визы, гражданство",Рерайтинг,$700,5 заявок
Перенос сайта на Вордпрес,Системы управления (CMS),,3 заявки
Bittrex,Финансовые услуги,,1 заявка
Сбор семантического ядра и группировка запросов по типам,Поисковые системы (SEO),,4 заявки
Обработка песни записанной на диктофон,Аудиомонтаж,,6 заявок
Контент-менеджер,Наполнение сайтов,,14 заявок
,,,
Программист со знанием CMS simpla,Веб-программирование,,нет заявок
Мы производим кожгалантерейнную продукцию. Нужна раскрутка нашего сайт,Поисковые системы (SEO),,4 заявки
Верстка и настройка Joomla,Системы управления (CMS),,10 заявок
Продвижение фейсбук и инстаграмм,Социальные сети (SMM и SMO),,8 заявок
Правки сайта на wordpress,Веб-программирование,,4 заявки
Немного доработать плагин wordpress,Веб-программирование,,5 заявок
Программист на OpenCart 2.0 2.0,Веб-программирование,$10,3 заявки
Разработка дизайна скидочных карт,Дизайн продукции,,27 заявок
Написать отзыв о магазине,Копирайтинг,$1,99 заявок
Доработки по Cms,Системы управления (CMS),$43,7 заявок
Доработка 1С,1С-программирование,,4 заявки
Миграция работающего портала в облако Amazon,Системное администрирование,,6 заявок
Настроить автоворонку продаж для сайта и интернет-магазина,Системное администрирование,,нет заявок
Переписать музыку из мультфильма,Аудиомонтаж,,14 заявок
Логотип,Логотипы и Знаки,,27 заявок
Контекстная реклама ИМ,Контекстная реклама,,19 заявок
Создать список продуктов-аналогов. Следующим шагом будут рерайты.,Рерайтинг,,26 заявок
Нужно сделать правку в код Joomla 1.5,Веб-программирование,$15,6 заявок
Три иллюстрации к статье в стиле инфографики,Иллюстрации и Рисунки,,12 заявок
Лэндинг + обложка на диск,Дизайн сайтов,,35 заявок
,,,
Лэндинг + обложка на диск,Дизайн сайтов,,35 заявок
Расшифровать трафик поступающий в приложение,Веб-программирование,,1 заявка
Элементы оформление сайта,Иллюстрации и Рисунки,,4 заявки
"АТС телефония, личный кабинет",Системное программирование,,1 заявка
Перерисовать водяные знаки на 20 картинках,Обработка фотографий,,13 заявок
"""Допилить"" форум (стили, настройка IPB)",Веб-программирование,,2 заявки
Копирайтинг,Копирайтинг,,10 заявок
Наполнение сайта WP (SEO статьи + оформление),Наполнение сайтов,,2 заявки
"Разработка проекта. Php код, верстка, любая CMS",Веб-программирование,,6 заявок
Перенести сайт на другой CMS,Веб-программирование,,13 заявок
Рисованные видеоролики. Нужен иллюстратор.,Иллюстрации и Рисунки,,5 заявок
Разработка сайта,Сайты «под ключ»,,26 заявок
Провести нагрузочное тестирование и настроить сервер под H-load проект,Системное администрирование,,8 заявок
Доведение до ума уже существующей 1С(или создать с нуля).,1С-программирование,,3 заявки
Разработка листовки А4 формат,Дизайн продукции,,24 заявки
Текст на английском (Best Mobile Cas),Копирайтинг,,5 заявок
Нужно сверстать сайт и емеил шаблон в одном стиле,HTML-верстка,,17 заявок
Продвижение сайта,Поисковые системы (SEO),,10 заявок
Перевод текста с несложными формулами с русского на английский,Переводы,,19 заявок
Shop Script. Создание типов цен на сайте. Связка с 1С,Системы управления (CMS),,6 заявок
,,,
Нужен сайт,Интернет-магазины,,15 заявок
Монтаж трёх видео на ютубе в программе Camtasia Studio,Видеомонтаж,,8 заявок
Оперативный парсер букмекерских данных.,Веб-программирование,,4 заявки
Разработать адаптивный сайт для небольшого интернет-магазина бижутерии,Интернет-магазины,$850,14 заявок
Расчет электрических нагрузок сварочного поста,"Контрольные, Задачи и Тесты",,2 заявки
"Эмблема МБУДО ""Сергачская ДЮСШ""",Иконки и Пиксель-арт,,17 заявок
Написать статью,Копирайтинг,$3,7 заявок
Разработать логотип свадебного салона !,Логотипы и Знаки,,7 заявок
Создание сайта под ключ с синхронизацией вконтакте и фейсбук,Сайты «под ключ»,,6 заявок
Заказ №885149,Копирайтинг,$300,2 заявки
Nextcloud + streisand с помощью virtual hosts + инструкция,Системное администрирование,,3 заявки
Парсер данных с 1 страницы,Веб-программирование,,9 заявок
Ищу программиста со знанием Lua!,Базы данных,,3 заявки
Перенос сайта с joomla на opencart,Интернет-магазины,,6 заявок
Дизайн сайту. Лендінг пейдж . по замовленню візиток,Дизайн сайтов,,27 заявок
Скопировать лейдинг,Наполнение сайтов,,2 заявки
Рекрутер-фрилансер на проект (подбор персонала),Подбор персонала (HR),$160,нет заявок
Нужен менеджер по продажам в молодую компанию Art of Online Design,Управление продажами,,1 заявка
Нужны дизайнеры в молодую компанию,Дизайн сайтов,,14 заявок
Автор статей про туризм и путешествия,Продающие тексты,,30 заявок
,,,
Протестировать работоспособность скрипта для Авито.,Тестирование сайтов,,1 заявка
Доработка функционала работающего сайта на WP,Системы управления (CMS),,10 заявок
Подключить 1С и онлайн кассу с платежной системой к сайту.,Системы управления (CMS),,нет заявок
Сделать внутреннюю оптимизацию сайта,Веб-программирование,,7 заявок
Интернет магазин joomla / joomshop,Интернет-магазины,,6 заявок
Настройка в Google Adwords,Контекстная реклама,,18 заявок
Помощь в изучении C#,Прикладное ПО,,1 заявка
Дизайн сайта портфолио,Дизайн сайтов,,22 заявки
Разработать WEB интерефейс приложения,Сайты «под ключ»,,1 заявка
Адаптация сайта под планшеты и телефоны - uCoz,HTML-верстка,,15 заявок
Динамические параметры в URL и GET,Веб-программирование,,1 заявка
Фреймворк  django,Веб-программирование,,3 заявки
Заполнение товарами интернет-магазин,Наполнение сайтов,$20,19 заявок
Подключить РойСтат к Геткурсу,Базы данных,,1 заявка
Сайт под ключ,Сайты «под ключ»,,27 заявок
Верстка и натяжка простого макета на WP,HTML-верстка,,24 заявки
Лидогенерация,Контекстная реклама,,10 заявок
Удаление невидимых линий при изображении трехмерных объектов,Прикладное ПО,,1 заявка
Сделать за отзыв анимацию для меню,Веб-программирование,,3 заявки
Консультация по интеграции шаблона с wordpress,Веб-программирование,,5 заявок
,,,
"Постоянная работа для копирайтера : ЗОЖ, ПП, медицина, биология, химия",Копирайтинг,,9 заявок
Создание YML-файла для магазина по требованиям Яндекс.Вебмастера,Веб-программирование,,3 заявки
Верстка интернет-магазина и посадка на Woocomerce,"HTML-верстка, Системы управления (CMS)",$170,8 заявок
Нужны уникальные статьи про маркетинг,Переводы,,8 заявок
Техническое редактирование на английском( copyediting ),"Редактирование и Корректура, Переводы",,10 заявок
Cкрипт для проведения платежей через web-интерфейс AdvCash,Веб-программирование,$250,2 заявки
Правки интернет-магазина на Fast CMS,HTML-верстка,,1 заявка
Сочинение на английском,Копирайтинг,,7 заявок
Разработать макет офлайн баннера для размещения на Roll Up'е,Наружная реклама,,26 заявок
Корректор-редактор,Редактирование и Корректура,$350,20 заявок
Интеграция шаблона с wordpress,Веб-программирование,,11 заявок
Передача заявок по API,Веб-программирование,,3 заявки
CodeIgniter + адаптивная вёрстка + парсер,"Веб-программирование, HTML-верстка",$1000,13 заявок
Подобрать имя и домен для веб-студии по разработке сайтов,Нейминг и Слоганы,$50,12 заявок
Доработать сайт,Веб-программирование,,5 заявок
Динамические ссылки и ответ GET-ом,Веб-программирование,,нет заявок
Разработчик .NET,Веб-программирование,,1 заявка
Рерайт текстов по электроснабжению,Рерайтинг,$150,4 заявки
Вёрстка главной страницы сайта,HTML-верстка,,5 заявок
Магазин фотообоев на OpenCart калькулятор цены,Интернет-магазины,,9 заявок
,,,
Поиск по файлу Excel на Delphi,Прикладное ПО,,6 заявок
Размещение ссылок на белорусских форумах.,Социальные сети (SMM и SMO),,2 заявки
Быстрый Заказ в PrestaShop - Разбить по переменным,Системы управления (CMS),,3 заявки
Редизайн сайта,Дизайн сайтов,,29 заявок
Разработка дизайна упаковки для агро- продукта.,Дизайн продукции,,15 заявок
Озвучка научно-популярных фильмов на украинском,Озвучивание,,5 заявок
Верстка дизайна лендинга и натяжка на wordpress,HTML-верстка,,24 заявки
Скрипт для функционального тестирования Rest API,Тестирование ПО,,2 заявки
Разместить ссылку в профиле форумов,Поисковые системы (SEO),$7,1 заявка
"Сложная , но интересная задача! Дизайн комнаты 6м2",Интерьеры и Экстерьеры,,13 заявок
Jenkins file,Системное программирование,$30,2 заявки
Разработка игры на Android и IOS,Разработка игр,,3 заявки
Контент по Форекс тематике,Копирайтинг,,6 заявок
Сделать адаптивную верстку поп-апа,HTML-верстка,,5 заявок
Натяжка верстки на опенкарт,Системы управления (CMS),,4 заявки
Создание среды разработки для frontend и backend JavaScript developers,Веб-программирование,,1 заявка
Создать на конструкторе лендингов копию ленда smartmonkey.com.ua,Веб-программирование,,4 заявки
Подбор контента для SMM,Социальные сети (SMM и SMO),$12,7 заявок
"Речь, аннотация, отзыв и презентация к курсовой работе","Рефераты, Курсовые и Дипломы",,2 заявки
Аудит и постановка управленческого учета на предприятие,Бухгалтерские услуги,,7 заявок
,,,
"Речь, аннотация, отзыв и презентация к курсовой работе","Рефераты, Курсовые и Дипломы",,2 заявки
Аудит и постановка управленческого учета на предприятие,Бухгалтерские услуги,,7 заявок
Доработка сайта на wordpress,HTML-верстка,$27,3 заявки
Необходимо подключить внешний сервис подсказок к сайту,Веб-программирование,,4 заявки
Разработка модуля Drupal8,Веб-программирование,,1 заявка
Нарисовать дизайн интернет магазина,Дизайн сайтов,$80,15 заявок
Нужен программист для небольшой доработки проекта на Ionic.,Веб-программирование,,2 заявки
"Собрать семантику, почистить, разбить на кластеры",Поисковые системы (SEO),,15 заявок
"Натянуть сайт на CMS WP, самопис или другое)",Системы управления (CMS),,14 заявок
Рип сайта,Веб-программирование,,6 заявок
Node.js backend разработчик,Веб-программирование,,3 заявки
Нужен поиск по сайту,Веб-программирование,,4 заявки
Нужен специалист по битриксу,Веб-программирование,,10 заявок
Описания 3D-моделей для принтеров,Копирайтинг,,3 заявки
Подобрать имя и домен для веб-студии по разработке сайтов,Нейминг и Слоганы,$15,7 заявок
Аудит Смарт Контракта,Системное программирование,,3 заявки
Создать модуль связки новостей для DLE,Веб-программирование,,3 заявки
Интеграция сторонних модулей на сайт,Веб-программирование,,2 заявки
Настройка онлайн платежей Privat24 для opencart,Веб-программирование,,3 заявки
4 работы по классам,Системное программирование,$14,4 заявки
,,,
Верстка и натяжка на Wordpress,"HTML-верстка, Системы управления (CMS)",,6 заявок
Добавить русскую версию в приложение,"Прикладное ПО, ПО для мобильных устройств",,7 заявок
Немного доработать функционал к существующему,Веб-программирование,,1 заявка
Продвижение туристического сайта в соц. сетях,Социальные сети (SMM и SMO),,13 заявок
Отрисовка логотипа,Логотипы и Знаки,,30 заявок
Настройка синхронизации в CRM Vtiger 7,Веб-программирование,,2 заявки
Описания видео роликов для взрослых,Копирайтинг,,20 заявок
Необходимо внести несколько правок на WP,Веб-программирование,,7 заявок
Обработка фотографий для интернет-магазина,Обработка фотографий,,23 заявки
Посадить верстку на фрейм ворк и настроить работу ботов,"Системы управления (CMS), Веб-программирование",,3 заявки
Создание сайтов,Сайты «под ключ»,,7 заявок
Ищем исполнителя для юридической тематики,Копирайтинг,,3 заявки
Сделать подбор фотографий к статьям,"Иллюстрации и Рисунки, Наполнение сайтов",,20 заявок
Проект для такси,Прикладное ПО,,6 заявок
Переезд сайта из CMS ReadyScript в CMS Shopscript,Системы управления (CMS),,3 заявки
Нужно 4 сео текстов по 2000 знаков,Копирайтинг,,10 заявок
Редактор для составления ТЗ авторам,Редактирование и Корректура,,6 заявок
GIF банеры ( 2шт) на сайт Пластинфо.ру,Баннеры,,13 заявок
Задача про типы цен в битрикс,Веб-программирование,,3 заявки
Доработать сайт на php,Веб-программирование,,7 заявок
,,,
Нужен скрипт рассылки уведомлений в VK,Веб-программирование,,4 заявки
Быстрая стилизация сайта,HTML-верстка,,7 заявок
Компоновка габаритных кубов в ограниченном объеме,Прикладное ПО,,1 заявка
Привести в порядок сайт,"Дизайн сайтов, Веб-программирование",,18 заявок
Сайт на Joomla или Wordpress,Сайты «под ключ»,,39 заявок
Доработать проект на Drupal 8,Веб-программирование,$150,2 заявки
Перенести данные с сайта на сайт,Наполнение сайтов,,23 заявки
Требуются услуги лидогенерации,Поисковые системы (SEO),,3 заявки
Создать презентацию в keynote,Презентации,$35,18 заявок
Разработать приложение с авторизацией пользователей (PHP+Laravel),Прикладное ПО,$10,1 заявка
Добавить функциональность в СДК,Прикладное ПО,,1 заявка
Редактор для 2-х проектов,Редактирование и Корректура,,5 заявок
Сайт с каталогом продукции и возможностью сделать заказ,Сайты «под ключ»,,29 заявок
Создать лендинг с адаптацией под моб. и ПК. Разместить на хост.,Сайты «под ключ»,,7 заявок
Программист Bitrix,Веб-программирование,,нет заявок
Наполнение магазина 20 позиций,Наполнение сайтов,,21 заявка
Разработать дизайн беспилотника + модуль,3D-графика,,3 заявки
"Доделать сайт, довести до финальной истадии www.vamnado.org",Интернет-магазины,,2 заявки
"Написать техническое задание (php, программирование, seo)",Веб-программирование,,1 заявка
Продающий прототип для сайта,Дизайн сайтов,,12 заявок
,,,
Нужен помощник для составления ТЗ авторам,Поисковые системы (SEO),$350,6 заявок
"Ищем исполнителя: копирайтера, блогера, автора статей",Копирайтинг,,9 заявок
Написание текстов для юридической компании на англ. языке,Копирайтинг,,4 заявки
Вёрстка Landing Page,HTML-верстка,,44 заявки
Дизайн Landing Page,Дизайн сайтов,,35 заявок
Доработка интернет-магазина на Bitrix,Интернет-магазины,,5 заявок
НЕЙМИНГ — нужно придумать название жилому комплексу премиум класса,Нейминг и Слоганы,$65,36 заявок
Разработка дизайна проекта LP,Дизайн сайтов,,13 заявок
Создание мобильного приложения для IOS/Android,ПО для мобильных устройств,,9 заявок
Создание промо-ролика,Видеомонтаж,,16 заявок
Разработка логотипа,Логотипы и Знаки,,33 заявки
Крауд маркетинг,Наполнение сайтов,,2 заявки
"Программиcт MODx Revo, мелкие доработки",Системы управления (CMS),,3 заявки
Специалист по ГИС ЖКХ,Встраиваемые системы,,2 заявки
Разработать обложку для папки с образцами по наличникам,Дизайн продукции,,28 заявок
Доработать сайт на WordPress,Интернет-магазины,,5 заявок
Нужно подправить код в интернет магазине на Woocommerce,Веб-программирование,,7 заявок
Настроить синхронизацию сайта на Битриксе с 1С,Веб-программирование,,3 заявки
Установка целей в Яндекс метрике на все формы,Веб-программирование,,2 заявки
Верстка лендинга,HTML-верстка,$50,76 заявок
,,,
Написать информационные статьи про печи,Копирайтинг,,5 заявок
Создание тем на форумах,Наполнение сайтов,,10 заявок
Нужно Развернуть сайт wp.,Прикладное ПО,,3 заявки
Монтировать мастер-класс с наложением звука на существующий отрезок.,Видеомонтаж,,9 заявок
"Сайт ""под ключ"" по указанному образцу",Сайты «под ключ»,,14 заявок
Приложение на ios,ПО для мобильных устройств,,7 заявок
Сео-тексты на сайт,Продающие тексты,,6 заявок
Создание и продвижение групп в соц сетях,Социальные сети (SMM и SMO),,10 заявок
DLE поиск с фильтром по доп полям с экспортом результатов в xls,Веб-программирование,,1 заявка
"Продвижение проекта  SMM, SMO - ciawifi.ru",Социальные сети (SMM и SMO),,14 заявок
Верстка одной посадочной страницы (lending page) сайта на Drupal 7,HTML-верстка,,4 заявки
Создать сайт для мебельной компании,Дизайн сайтов,,28 заявок
"Рассылка по группам telegram, тематика – криптовалюта.",Социальные сети (SMM и SMO),,2 заявки
